iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI,iss_date_iso8601,file_date_iso8601,file
23/04/2020,F,0-9,<5,607,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,F,10-19,<5,1070,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,F,20-29,<5,5024,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,F,30-39,18,7136,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,F,40-49,49,12851,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,F,50-59,180,16685,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,F,60-69,578,9825,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,F,70-79,1923,11163,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,F,80-89,3744,17034,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,F,>90,2001,9429,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,F,Non noto,<5,71,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,M,0-9,<5,687,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,M,10-19,<5,1070,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,M,20-29,5,3877,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,M,30-39,30,5951,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,M,40-49,154,9849,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,M,50-59,681,15772,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,M,60-69,1993,15825,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,M,70-79,4952,16410,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,M,80-89,5642,13446,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,M,>90,1210,2888,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,M,Non noto,<5,46,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,Non noto,0-9,<5,10,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,Non noto,10-19,<5,6,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,Non noto,20-29,<5,62,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,Non noto,30-39,<5,50,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,Non noto,40-49,<5,67,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,Non noto,50-59,<5,67,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,Non noto,60-69,5,57,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,Non noto,70-79,7,42,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,Non noto,80-89,10,54,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,Non noto,>90,<5,11,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
23/04/2020,Non noto,Non noto,<5,<5,2020-04-23,2020-04-23,COVID_19_ISS_open_data_2020-04-23_sesso_eta
24/04/2020,F,0-9,<5,617,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_sesso_eta
24/04/2020,F,10-19,<5,1114,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_sesso_eta
24/04/2020,F,20-29,<5,5209,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_sesso_eta
24/04/2020,F,30-39,18,7404,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_sesso_eta
24/04/2020,F,40-49,51,13330,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_sesso_eta
24/04/2020,F,50-59,184,17281,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_sesso_eta
24/04/2020,F,60-69,585,10107,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_sesso_eta
24/04/2020,F,70-79,1947,11532,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_sesso_eta
24/04/2020,F,80-89,3827,17834,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_sesso_eta
24/04/2020,F,>90,2078,9969,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_sesso_eta
24/04/2020,F,Non noto,<5,57,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_sesso_eta
24/04/2020,M,0-9,<5,717,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_sesso_eta
24/04/2020,M,10-19,<5,1121,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_sesso_eta
24/04/2020,M,20-29,5,4023,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_sesso_eta
24/04/2020,M,30-39,31,6156,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_sesso_eta
24/04/2020,M,40-49,162,10150,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_sesso_eta
24/04/2020,M,50-59,686,16208,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_sesso_eta
24/04/2020,M,60-69,2022,16233,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_sesso_eta
24/04/2020,M,70-79,4997,16807,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_sesso_eta
24/04/2020,M,80-89,5707,13899,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_sesso_eta
24/04/2020,M,>90,1248,3028,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_sesso_eta
24/04/2020,M,Non noto,<5,41,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_sesso_eta
24/04/2020,Non noto,0-9,<5,10,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_sesso_eta
24/04/2020,Non noto,10-19,<5,6,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_sesso_eta
24/04/2020,Non noto,20-29,<5,66,2020-04-24,2020-04-24,COVID_19_ISS_open_data_2020-04-24_sesso_eta
